Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Plains",1,136696,Promo,DFT,507,Yes,No,0
"Wizened Mentor",1,137585,Promo,DRC,24,No,No,0
"Accursed Duneyard",1,137609,Promo,DRC,36,No,No,0
"Brightglass Gearhulk",2,136505,Mythic Rare,DFT,191,No,No,0
"Cursecloth Wrappings",1,137042,Promo,DFT,447,Yes,No,0
"Island",1,136708,Promo,DFT,513,Yes,No,0
"Blood Artist",4,135580,Uncommon,INR,97,No,No,0
"Plains",40,136062,Land,INR,289,No,No,0
"Swamp",40,136070,Land,INR,293,No,No,0
"Forest",40,136078,Land,INR,297,No,No,0
"Avacynian Priest",1,134955,Promo,INR,334,Yes,No,0
"Fiend Hunter",1,134967,Promo,INR,340,Yes,No,0
"Lunarch Mantle",1,134975,Promo,INR,344,Yes,No,0
"Slayer of the Wicked",1,134983,Promo,INR,348,Yes,No,0
"Summary Dismissal",1,135023,Promo,INR,368,Yes,No,0
"Indulgent Aristocrat",1,135055,Promo,INR,384,Yes,No,0
"Sever the Bloodline",1,135065,Promo,INR,389,Yes,No,0
"Tragic Slip",1,135067,Promo,INR,390,Yes,No,0
"Lightning Mauler",1,135085,Promo,INR,399,Yes,No,0
"Spider Spawning",1,135125,Promo,INR,419,Yes,No,0
"The Gitrog Monster",1,135149,Promo,INR,431,Yes,No,0
"Demonmail Hauberk",1,135171,Promo,INR,442,Yes,No,0
"Cunning Wish",1,134242,Promo,MB2,159,No,No,0
"Flickering Ward",1,133915,Promo,MB2,11,Yes,No,0
"Lathliss, Dragon Queen",1,132726,Promo,J25,74,No,No,0
"Abyssal Harvester",4,133676,Rare,FDN,54,No,No,0
"Vengeful Bloodwitch",4,133720,Uncommon,FDN,76,No,No,0
"Boltwave",4,133726,Uncommon,FDN,79,No,No,0
"Reclamation Sage",4,133488,Uncommon,FDN,231,No,No,0
"Zetalpa, Primal Dawn",1,134504,Rare,FDN,584,No,No,0
"Abrade",1,133189,Promo,FDN,327,Yes,No,0
"Reluctant Role Model",1,130183,Rare,DSK,26,No,No,0
"Enduring Curiosity",1,130233,Rare,DSK,51,No,No,0
"Unholy Annex/Ritual Chamber",4,130367,Rare,DSK,118,No,No,0
"Unstoppable Slasher",4,130369,Rare,DSK,119,No,No,0
"Roaring Furnace/Steaming Sauna",1,130591,Rare,DSK,230,No,No,0
"Zimone, All-Questioning",1,130613,Rare,DSK,241,No,No,0
"Ghost Vacuum",2,130627,Rare,DSK,248,No,No,0
"Grand Entryway/Elegant Rotunda",1,129942,Promo,DSK,287,Yes,No,0
"Optimistic Scavenger",1,129944,Promo,DSK,288,Yes,No,0
"Entity Tracker",1,129947,Promo,DSK,290,No,No,0
"Clockwork Percussionist",1,129958,Promo,DSK,295,Yes,No,0
"Oblivious Bookworm",1,129968,Promo,DSK,300,Yes,No,0
"Insidious Fungus",1,129898,Promo,DSK,321,Yes,No,0
"Under the Skin",1,129902,Promo,DSK,323,Yes,No,0
"Dazzling Theater/Prop Room",1,130021,Promo,DSK,334,No,No,0
"Zimone, All-Questioning",1,130087,Promo,DSK,366,No,No,0
"Drag to the Roots",1,129938,Promo,DSK,414,Yes,No,0
"Inquisitive Glimmer",1,129940,Promo,DSK,415,Yes,No,0
"Gourmand's Talent",1,128964,Rare,BLC,31,Yes,No,0
"Starfall Invocation",1,129313,Rare,BLB,34,No,No,0
"Cruelclaw's Heist",4,129421,Rare,BLB,88,No,No,0
"Dragonhawk, Fate's Tempest",1,129509,Mythic Rare,BLB,132,No,No,0
"Fabled Passage",4,129749,Rare,BLB,252,No,No,0
"Swamp",1,129808,Land,BLB,271,Yes,No,0
"Swamp",1,129810,Land,BLB,272,Yes,No,0
"Mountain",1,129814,Land,BLB,274,Yes,No,0
