Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Lunarch Mantle",1,134975,Promo,INR,344,Yes,No,0
"Fiend Hunter",1,134967,Promo,INR,340,Yes,No,0
"Avacynian Priest",1,134955,Promo,INR,334,Yes,No,0
"Island",1,136708,Promo,DFT,513,Yes,No,0
"Plains",1,136696,Promo,DFT,507,Yes,No,0
"Cursecloth Wrappings",1,137042,Promo,DFT,447,Yes,No,0
"Lightning Mauler",1,135085,Promo,INR,399,Yes,No,0
"Tragic Slip",1,135067,Promo,INR,390,Yes,No,0
"Sever the Bloodline",1,135065,Promo,INR,389,Yes,No,0
"Indulgent Aristocrat",1,135055,Promo,INR,384,Yes,No,0
"Summary Dismissal",1,135023,Promo,INR,368,Yes,No,0
"Slayer of the Wicked",1,134983,Promo,INR,348,Yes,No,0
